Layout_Net                              Source_Net                              C_Total(F)           CC_Total(F)          C+CC_Total(F)        
wl_dac_config<3>                        wl_dac_config<3>                        1.47759E-16          2.05402E-15          2.20178E-15          
di<43>                                  di<43>                                  1.47759E-16          2.05402E-15          2.20178E-15          
di<35>                                  di<35>                                  1.47759E-16          2.05402E-15          2.20178E-15          
di<27>                                  di<27>                                  1.47759E-16          2.05402E-15          2.20178E-15          
di<19>                                  di<19>                                  1.47759E-16          2.05402E-15          2.20178E-15          
di<11>                                  di<11>                                  1.47759E-16          2.06276E-15          2.21052E-15          
di<3>                                   di<3>                                   1.47759E-16          2.06692E-15          2.21468E-15          
sa_do<47>                               sa_do<47>                               9.88587E-17          2.38463E-15          2.48349E-15          
sa_do<43>                               sa_do<43>                               1.07230E-16          2.52872E-15          2.63595E-15          
sa_do<39>                               sa_do<39>                               9.93325E-17          2.37861E-15          2.47794E-15          
sa_do<35>                               sa_do<35>                               1.07230E-16          2.52872E-15          2.63595E-15          
sa_do<31>                               sa_do<31>                               9.93325E-17          2.37861E-15          2.47794E-15          
sa_do<27>                               sa_do<27>                               1.07230E-16          2.52872E-15          2.63595E-15          
sa_do<23>                               sa_do<23>                               9.93325E-17          2.37901E-15          2.47835E-15          
sa_do<19>                               sa_do<19>                               1.07230E-16          2.53109E-15          2.63832E-15          
sa_do<15>                               sa_do<15>                               9.93325E-17          2.38134E-15          2.48067E-15          
sa_do<11>                               sa_do<11>                               1.07230E-16          2.53109E-15          2.63832E-15          
sa_do<7>                                sa_do<7>                                9.93325E-17          2.38134E-15          2.48067E-15          
sa_do<3>                                sa_do<3>                                1.07426E-16          2.53536E-15          2.64279E-15          
